Iteration,M2,M3,D2,D3,V2,V3,Pmech2,Pmech3,Loss,Time,Gradient Norm
6,19.10796928,12.89181042,10.63949966,11.21875,2.162846565,2.593960285,-3.12149334,0.523566365,9.33E-05,22.50823593,0.044437438
6,19.10632324,12.88980198,10.64222336,11.22075844,2.166081667,2.595682144,-3.121428967,0.523621798,6.42E-05,22.65015697,0.054164965
6,19.10463905,12.88775444,10.64501858,11.22284698,2.170088768,2.597767353,-3.121359825,0.52368021,6.59E-05,22.78961706,0.056789845
6,19.10373306,12.88537216,10.65082264,11.22668457,2.174171209,2.599513054,-3.12127614,0.52375114,0.000478405,22.93062091,0.06863445
6,19.10281181,12.8829565,10.65663433,11.23057747,2.17795372,2.601040363,-3.121193886,0.5238204,6.16E-05,23.07173586,0.066719025
6,19.10202026,12.88055801,10.66261482,11.23458481,2.181199789,2.602264166,-3.121110439,0.523890793,5.31E-05,23.21174192,0.067492135
6,19.1012249,12.87811661,10.66861248,11.23863888,2.183305264,2.602805614,-3.12103343,0.523955822,8.26E-05,23.35263205,0.06202893
6,19.09767151,12.87244987,10.6808157,11.24363995,2.183660269,2.60201931,-3.120987892,0.523991764,0.000428501,23.49398804,0.034118459
6,19.0941124,12.86675072,10.69276714,11.24868298,2.182576418,2.600380898,-3.120950699,0.524020672,9.51E-05,23.6338768,0.027317991
6,19.09054184,12.86102486,10.70447159,11.25376797,2.180270672,2.598004818,-3.120921135,0.524043024,8.46E-05,23.77532005,0.02100799
6,19.08699417,12.85529709,10.71591759,11.25889587,2.177224874,2.595156193,-3.120896339,0.524060905,6.50E-05,23.91583776,0.016725894
6,19.08342552,12.84955215,10.72714043,11.26407814,2.173698902,2.59196496,-3.120875597,0.524074733,6.36E-05,24.05648994,0.012857018
6,19.07974052,12.84366703,10.73822498,11.26935482,2.170096397,2.588599682,-3.120862484,0.524080575,5.50E-05,24.19793296,0.005428832
6,19.07603264,12.83777428,10.74912548,11.27472782,2.167231798,2.585534334,-3.120847702,0.524086118,6.53E-05,24.33871508,0.005103912
6,19.07224655,12.83174133,10.75993347,11.28022861,2.165057182,2.582675934,-3.120838642,0.52408433,6.30E-05,24.47903681,0.001628052
7,19.07219696,12.83171082,10.75998783,11.28034401,2.166551828,2.583387136,-3.120833158,0.524087012,8.84E-05,24.62093902,0.00242338
7,19.07139397,12.82931232,10.76224422,11.28139305,2.167863131,2.58368516,-3.120851994,0.524065256,0.00014048,24.76133394,0.019734751
7,19.07053947,12.82688141,10.76454067,11.28253365,2.170278072,2.584498167,-3.120866537,0.524045467,7.35E-05,24.90356088,0.017837657
7,19.06963921,12.82441902,10.76687431,11.2837553,2.173493385,2.58567071,-3.120877981,0.52402699,6.55E-05,25.04509306,0.016581042
7,19.06870842,12.82192898,10.76923084,11.28505135,2.177115679,2.58698988,-3.120888472,0.524008155,5.99E-05,25.1869328,0.016826183
7,19.0650444,12.81612206,10.77639198,11.28715324,2.179817677,2.587426901,-3.120930672,0.523958921,0.000316507,25.32833695,0.043764491
7,19.06132698,12.81027603,10.78354359,11.2893219,2.182045937,2.587524891,-3.120976448,0.523905933,6.82E-05,25.469136,0.046849966
